FirstName LastName,Wheat,Paddy,Rubber,Maize
Hayden Ripley,8,6,4,6
Lucy Lakey,9,1,4,8
Daphne Long,7,2,NA,6
Percy Torres,7,4,3,4
Vanessa Alldridge,9,NA,6,NA
Jayden Rixon,5,NA,1,4
Phillip Matthews,4,4,6,2
Brad Walton,3,3,1,3
Barry Scott,8,NA,2,NA
Tyler Benfield,8,3,9,9
Angel Donovan,NA,2,1,1
Ryan Bristow,5,NA,NA,5
Roger Nayler,5,2,NA,NA
Barney Butler,9,7,1,2
Carmella Allcott,9,8,3,7
Sharon Wright,6,1,6,3
Josh Lunt,NA,5,7,1
Kieth Jones,NA,5,NA,8
Domenic Varley,3,6,1,5
Dorothy Preston,2,3,7,7
Katelyn Farrow,8,NA,NA,3
Hank Poole,8,8,9,8
Mark Lewin,9,NA,NA,2
Oliver Goldsmith,NA,2,3,4
Sabina Radley,9,NA,3,NA
Brooklyn Higgs,8,3,NA,7
Russel Robe,2,2,7,6
Ciara Silva,2,2,NA,5
Ivy Groves,5,NA,7,8
Peter Dickson,3,2,9,NA
Jack Ballard,7,2,4,NA
Denis Tindall,6,5,2,NA
Zoe Emerson,5,NA,5,4
Nicholas Foxley,2,4,NA,2
Barney Blackburn,8,2,NA,1
Mark Jeffery,6,3,4,3
Greta Ripley,4,NA,NA,3
Sebastian Stone,6,4,3,1
Henry Alcroft,2,7,3,8
Carter Lomax,NA,NA,5,6
Adelaide Tyler,8,1,7,3
Jacob Miller,NA,1,5,NA
Marina Thomson,3,1,4,8
Nathan Simpson,5,7,4,9
Freya Johnson,6,9,2,8
Celia Donovan,4,5,2,NA
William Richards,5,6,1,NA
Sabrina Norburn,5,3,9,8
Gil Logan,NA,1,2,1
Alma Moran,1,5,4,7
Kendra Lewis,6,NA,8,6
Brad James,6,NA,9,9
Michael Bailey,9,6,7,NA
Luke Richards,9,NA,2,NA
Ryan Pearson,7,3,5,7
Vicky Mould,NA,2,9,6
Felicity Yard,5,2,NA,8
Gil Warren,9,5,NA,9
Carina Aldridge,6,9,NA,3
Enoch Quinn,5,7,9,1
Wade Allen,1,8,4,NA
Josh Ainsworth,4,1,NA,6
Marvin Bloom,2,7,6,1
Chuck Shepherd,NA,6,5,2
Amy Reid,3,4,1,NA
Adalie Allcott,2,4,6,NA
Rachael Smith,5,9,NA,4
Martha Pearson,1,4,8,2
Penelope Verdon,7,9,7,NA
Alexander Styles,8,4,7,5
Rocco Matthews,8,7,9,9
Carl Hall,7,5,1,5
Callie Stewart,NA,7,5,2
Shelby Wallace,3,4,NA,2
Roger Kerr,5,5,2,NA
Mackenzie Lewis,NA,4,1,5
Rachael Holmes,NA,1,7,3
Nicholas Wright,5,8,2,8
Johnathan Harris,4,NA,NA,9
Daphne Healy,8,7,NA,3
Trisha Quinn,NA,4,NA,2
Ryan Jordan,5,4,6,7
Barney Edley,1,NA,9,2
Carl Fenton,5,9,9,5
Cynthia Fields,3,7,3,8
Aiden Drew,8,6,7,1
Erick Cavanagh,8,NA,3,NA
Emma Mooney,1,3,6,NA
Matthew Nelson,7,8,8,2
Zara Shields,NA,8,6,4
Carter Poulton,4,NA,1,3
Henry Khan,8,3,NA,6
John King,9,8,8,2
Hank Hepburn,8,9,4,9
